Student: 0001, Mark: 8
Student: 0006, Mark: 6
Student: 0011, Mark: 9
Student: 0016, Mark: 9
Student: 0021, Mark: 5
Student: 0026, Mark: 2
Student: 0031, Mark: 8
Student: 0036, Mark: 2
Student: 0042, Mark: 2
Student: 0048, Mark: 3
Student: 0052, Mark: 1
Student: 0056, Mark: 0
Student: 0062, Mark: 5
Student: 0067, Mark: 5
Student: 0071, Mark: 3
Student: 0076, Mark: 1
Student: 0002, Mark: 1
Student: 0007, Mark: 4
Student: 0012, Mark: 6
Student: 0016, Mark: 5
Student: 0021, Mark: 9
Student: 0027, Mark: 3
Student: 0031, Mark: 4
Student: 0037, Mark: 4
Student: 0040, Mark: 2
Student: 0050, Mark: 4
Student: 0052, Mark: 5
Student: 0055, Mark: 3
Student: 0062, Mark: 2
Student: 0067, Mark: 8
Student: 0069, Mark: 0
Student: 0076, Mark: 3
Student: 0078, Mark: 2
Student: 0005, Mark: 8
Student: 0007, Mark: 5
Student: 0013, Mark: 6
Student: 0018, Mark: 6
Student: 0023, Mark: 8
Student: 0025, Mark: 10
Student: 0030, Mark: 3
Student: 0038, Mark: 5
Student: 0043, Mark: 3
Student: 0046, Mark: 8
Student: 0055, Mark: 7
Student: 0060, Mark: 9
Student: 0065, Mark: 2
Student: 0068, Mark: 10
Student: 0073, Mark: 6
