Student: 0001, Mark: 10
Student: 0006, Mark: 3
Student: 0011, Mark: 9
Student: 0016, Mark: 3
Student: 0021, Mark: 7
Student: 0026, Mark: 2
Student: 0031, Mark: 1
Student: 0036, Mark: 0
Student: 0041, Mark: 6
Student: 0046, Mark: 4
Student: 0051, Mark: 3
Student: 0056, Mark: 0
Student: 0061, Mark: 3
Student: 0066, Mark: 9
Student: 0071, Mark: 9
Student: 0076, Mark: 2
Student: 0002, Mark: 2
Student: 0007, Mark: 7
Student: 0012, Mark: 8
Student: 0017, Mark: 7
Student: 0022, Mark: 9
Student: 0027, Mark: 6
Student: 0032, Mark: 10
Student: 0037, Mark: 4
Student: 0042, Mark: 1
Student: 0047, Mark: 7
Student: 0052, Mark: 6
Student: 0056, Mark: 2
Student: 0061, Mark: 4
Student: 0068, Mark: 10
Student: 0073, Mark: 2
Student: 0078, Mark: 7
Student: 0003, Mark: 4
Student: 0006, Mark: 1
Student: 0011, Mark: 3
Student: 0017, Mark: 10
Student: 0021, Mark: 3
Student: 0025, Mark: 9
Student: 0029, Mark: 0
Student: 0032, Mark: 5
Student: 0038, Mark: 9
Student: 0045, Mark: 2
Student: 0052, Mark: 4
Student: 0056, Mark: 10
Student: 0063, Mark: 2
Student: 0068, Mark: 8
Student: 0071, Mark: 8
Student: 0075, Mark: 1
Student: 0078, Mark: 6
Student: 0006, Mark: 10
Student: 0009, Mark: 9
Student: 0013, Mark: 5
Student: 0016, Mark: 6
Student: 0020, Mark: 2
Student: 0027, Mark: 8
Student: 0034, Mark: 4
Student: 0042, Mark: 1
Student: 0045, Mark: 10
Student: 0048, Mark: 4
Student: 0054, Mark: 6
Student: 0058, Mark: 3
Student: 0061, Mark: 9
Student: 0063, Mark: 4
Student: 0069, Mark: 3
Student: 0076, Mark: 7
