Student: 0003, Mark: 0
Student: 0008, Mark: 10
Student: 0012, Mark: 4
Student: 0017, Mark: 9
Student: 0022, Mark: 9
Student: 0026, Mark: 7
Student: 0032, Mark: 10
Student: 0036, Mark: 8
Student: 0040, Mark: 4
Student: 0048, Mark: 7
Student: 0049, Mark: 6
Student: 0057, Mark: 10
Student: 0058, Mark: 6
Student: 0065, Mark: 1
Student: 0071, Mark: 8
Student: 0076, Mark: 2
Student: 0079, Mark: 3
Student: 0012, Mark: 8
Student: 0016, Mark: 0
Student: 0018, Mark: 8
Student: 0025, Mark: 8
Student: 0029, Mark: 0
Student: 0035, Mark: 2
Student: 0042, Mark: 6
Student: 0047, Mark: 8
Student: 0051, Mark: 4
Student: 0056, Mark: 7
Student: 0057, Mark: 10
Student: 0063, Mark: 5
Student: 0069, Mark: 3
Student: 0073, Mark: 3
Student: 0078, Mark: 6
Student: 0001, Mark: 5
Student: 0008, Mark: 4
Student: 0013, Mark: 5
Student: 0016, Mark: 6
Student: 0023, Mark: 4
Student: 0026, Mark: 2
